,日期,时间,河名,站号,站名,水位,水势,比昨日</br>+涨-落,流量,设防</br>水位,警戒</br>水位,最高</br>水位
0,2020-07-01,00:00,长江,60105400,寸滩,169.21,4,-0.57,20100,--,--,--
1,2020-07-01,00:00,梁子湖,61602600,梁子镇,18.55,6,0.06,,19.00,20.50,21.49
2,2020-07-01,00:00,长江,60803000,武隆,185.36,5,5.47,7100,--,--,--
3,2020-07-01,00:00,汉江,61801300,安康,236.89,6,-0.01,892,--,--,259.26
4,2020-07-01,00:00,长江,60107300,宜昌,50.07,5,-0.03,36100,52.00,53.00,55.92
5,2020-07-01,00:00,汉江,61801700,白河,173.81,5,0.08,1460,--,187.00,196.63
6,2020-07-01,00:00,长江,60107400,枝城,46.20,4,0.10,39500,48.00,49.00,50.75
7,2020-07-01,00:00,汉江,61802800,黄家港,89.40,4,0.08,1430,--,--,96.45
8,2020-07-01,00:00,长江,60108300,沙市,41.17,5,0.22,32600,42.00,43.00,45.22
9,2020-07-01,00:00,汉江,61803400,襄阳,64.75,5,0.06,,65.50,67.00,71.71
10,2020-07-01,00:00,长江,60110500,监利,34.48,6,0.29,28800,34.50,35.50,38.31
11,2020-07-01,00:00,汉江,61803500,宜城,51.94,6,-0.64,,56.50,57.50,61.45
12,2020-07-01,00:00,长江,60111200,莲花塘,31.19,4,0.37,,--,32.50,35.80
13,2020-07-01,00:00,汉江,61804110,皇庄,43.86,4,-0.43,3520,47.00,48.00,52.30
14,2020-07-01,00:00,长江,60111300,螺山,30.21,5,0.35,41500,31.00,32.00,34.95
15,2020-07-01,00:00,汉江,61804210,沙洋,38.61,4,-0.12,,40.80,41.80,44.50
16,2020-07-01,00:00,长江,60112200,汉口,25.18,4,0.29,44200,25.00,27.30,29.73
17,2020-07-01,00:00,汉江,61804400,岳口,32.42,5,0.88,,36.90,37.90,40.62
18,2020-07-01,00:00,长江,60112900,黄石,21.70,5,0.28,,22.80,24.50,26.39
19,2020-07-01,00:00,汉江,61804600,仙桃,30.02,5,1.16,3190,34.10,35.10,36.24
20,2020-07-01,00:00,长江,60113205,码头镇,19.30,5,0.23,,20.50,21.50,24.04
21,2020-07-01,00:00,汉江,61804710,汉川,27.36,5,0.98,,28.00,29.00,32.09
22,2020-07-01,00:00,长江,60113400,九江,18.34,4,0.22,45200,19.50,20.00,23.03
23,2020-07-01,00:00,汉江,61802700,丹江口水库,159.76,5,0.06,1240(出),--,--,--
24,2020-07-01,00:00,长江,60106980,三峡水库,146.99,4,-0.69,34500(出),--,--,--
25,2020-07-01,00:00,清江,61002791,水布垭,391.94,4,-1.59,,--,--,--
26,2020-07-01,00:00,洞庭湖,61512000,城陵矶,31.30,4,0.36,14600,--,32.50,35.94
27,2020-07-01,00:00,清江,61003101,隔河岩,193.45,4,193.45,3110(入)<br>4790(出),--,--,--
